DATE,PSUNOUSDM
3/1/2021,1972.238225
4/1/2021,1919.695833
5/1/2021,1936.486706
6/1/2021,1586.464583
7/1/2021,1560.264583
8/1/2021,1678.710417
9/1/2021,1601.202083
10/1/2021,1735.490079
11/1/2021,1746.120833
12/1/2021,1685.604529
1/1/2022,1703.467857
2/1/2022,1829.769792
3/1/2022,2487.813406
4/1/2022,2536.61746
5/1/2022,2498.825
6/1/2022,2154.404167
7/1/2022,1839.848214
8/1/2022,1823.439312
9/1/2022,1578.277083
